question_id,language,question,question_english,multi_faithfulness_label,multi_faithfulness_score,multi_completeness_label,multi_completeness_score,multi_appropriateness_label,multi_appropriateness_score,multi_overall,multi_issues,trans_faithfulness_label,trans_faithfulness_score,trans_completeness_label,trans_completeness_score,trans_appropriateness_label,trans_appropriateness_score,trans_overall,trans_issues
Hindi_Q011,Hindi,अनुशंसित शराब से अधिक पीने के हृदय रोग जोखिम पर क्या प्रभाव होते हैं?,What are the effects of drinking more than recommended alcohol on heart disease risk?,hallucinated,1,no_answer,1,appropriate,3,The answer is not faithful to the reference text and does not provide a complete response based on the available information.,The answer includes hallucinated information not present in the reference text.; The reference text does not contain information about alcohol and heart disease risk.,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately addressing the user's question about alcohol consumption and heart disease risk.",None
Hindi_Q012,Hindi,पुरुषों और महिलाओं के लिए हृदय रोग के जोखिम को कम करने के लिए पीने के दिशा-निर्देश क्या हैं?,What are the drinking guidelines to reduce heart disease risk for men and women?,factual,5,complete,5,appropriate,5,"The answer is factual, complete, and medically appropriate, providing clear guidelines on alcohol consumption to reduce heart disease risk.",None,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate.",None
Hindi_Q013,Hindi,तनाव प्रबंधन हृदय रोग के जोखिम को कैसे प्रभावित करता है?,How does managing stress influence heart disease risk?,partial,3,partial,3,appropriate,4,"The answer is partially faithful and complete, providing appropriate but not fully comprehensive information on stress management and heart disease risk.",Unsupported mention of meditation and peaceful activities; Omission of details about sleep and diabetes impact on heart disease,partial,3,complete,5,appropriate,5,The answer is mostly complete and appropriate but includes some unsupported details not found in the reference text.,The claim about 'extreme stress' triggering a heart attack is not directly supported by the reference text.
Hindi_Q014,Hindi,धूम्रपान करने वालों के लिए हृदय रोग के जोखिम को कम करने के लिए क्या अनुशंसित कार्रवाई है?,What is the recommended action for smokers to lower heart disease risk?,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately reflecting the reference text.",None,partial,3,partial,3,appropriate,5,"The answer is partially faithful and complete, focusing on smoking cessation but missing other aspects of cardiovascular risk management.",The reference text does not explicitly recommend smoking cessation alone.; The answer does not cover other aspects of cardiovascular risk management mentioned in the reference text.
Hindi_Q015,Hindi,धूम्रपान छोड़ने का हृदय रोग के जोखिम पर क्या प्रभाव पड़ता है?,What is the effect of smoking cessation on heart disease risk?,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately reflecting the reference text.",None,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate.",None
Hindi_Q016,Hindi,हृदय रोग के जोखिम को कम करने के लिए महिलाओं के लिए शराब सेवन के दिशा-निर्देश क्या हैं?,What are the guidelines for alcohol consumption for women to reduce heart disease risk?,hallucinated,1,no_answer,1,potentially_harmful,2,The answer is not faithful to the reference text and provides potentially harmful information by suggesting guidelines not supported by the reference.,"The answer includes unsupported information about alcohol consumption guidelines.; The reference text does not contain the requested information, yet the answer provides additional details.",hallucinated,1,no_answer,1,appropriate,3,The answer is not faithful to the reference text and does not provide a complete response based on the available information.,The answer includes hallucinated information about alcohol consumption guidelines.; The reference text does not contain relevant information to answer the user's question.
Hindi_Q017,Hindi,मेपिवाकेन हाइड्रोक्लोराइड का उपयोग किस लिए किया जाता है?,What is mepivacaine hydrochloride used for?,hallucinated,1,no_answer,1,appropriate,3,The answer is not faithful to the reference text and provides hallucinated information about mepivacaine hydrochloride.,Information about mepivacaine hydrochloride is not present in the reference text.; The answer includes unsupported claims.,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately reflecting the reference text.",None
Hindi_Q018,Hindi,मेपेरिडाइन हाइड्रोक्लोराइड का संरचनात्मक सूत्र क्या है?,What is the structural formula of meperidine hydrochloride?,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate as it accurately reflects the absence of information in the reference text.",None,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate as it accurately reflects the lack of information in the reference text.",None
Hindi_Q019,Hindi,स्थानीय एनेस्थेटिक्स की क्रिया में प्लाज्मा प्रोटीन की क्या भूमिका होती है?,What is the role of plasma proteins in the action of local anesthetics?,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate as it accurately reflects the absence of relevant information in the reference text.",None,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately addressing the user's question based on the reference text.",None
Hindi_Q020,Hindi,कौन सी मेपिवाकेन हाइड्रोक्लोराइड की सांद्रता पूर्ण संवेदी और मोटर ब्लॉक प्रदान करती है?,What concentration of mepivacaine hydrochloride provides complete sensory and motor block?,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete in acknowledging the lack of information, and medically appropriate.",None,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate.",None
Hindi_Q021,Hindi,मेपिवाकेन द्वारा प्रदान की गई एनेस्थीसिया आमतौर पर सर्जरी के लिए कितनी देर तक पर्याप्त होती है?,How long is anesthesia provided by mepivacaine typically adequate for surgery?,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately reflecting the reference text.",None,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate.",None
Hindi_Q022,Hindi,मेपेरिडाइन हाइड्रोक्लोराइड इंजेक्शन का पीएच रेंज क्या है?,What is the pH range of Meperidine Hydrochloride Injection?,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate as it accurately reflects the absence of information in the reference text.",None,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate.",None
Hindi_Q023,Hindi,मेपेरिडाइन हाइड्रोक्लोराइड इंजेक्शन के प्रशासन के रूप क्या हैं?,What are the forms of administration for Meperidine Hydrochloride Injection?,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate as it accurately reflects the absence of relevant information in the reference text.",None,factual,5,complete,5,appropriate,5,"The answer is factual, complete, and medically appropriate, accurately reflecting the reference text.",None
Hindi_Q024,Hindi,मेपेरिडाइन हाइड्रोक्लोराइड का गलनांक क्या है?,What is the melting point of meperidine hydrochloride?,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate as it accurately reflects the absence of information in the reference text.",None,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate as it accurately reflects the absence of information in the reference text.",None
Hindi_Q025,Hindi,मेपेरिडाइन हाइड्रोक्लोराइड की रासायनिक संरचना क्या है?,What is the chemical composition of meperidine hydrochloride?,factual,5,no_answer,5,appropriate,5,"The response is faithful, complete, and medically appropriate as it accurately reflects the absence of information in the reference text.",None,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate as it correctly identifies the lack of information in the reference text.",None
Hindi_Q026,Hindi,मपेरीडाइन हाइड्रोक्लोराइड का नारकोटिक एनाल्जेसिक के रूप में क्या भूमिका है?,What is the role of meperidine hydrochloride as a narcotic analgesic?,hallucinated,1,no_answer,1,inappropriate,2,The answer is not faithful to the reference text and fails to provide a complete and appropriate response to the user's question.,The answer contains hallucinated information about meperidine hydrochloride.; The reference text does not support the provided answer.,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately reflecting the reference text.",None
Hindi_Q027,Hindi,मेपेरिडाइन हाइड्रोक्लोराइड इंजेक्शन के लिए उपलब्ध सांद्रता क्या हैं?,What are the concentrations available for Meperidine Hydrochloride Injection?,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate as it accurately reflects the absence of relevant information in the reference text.",None,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately reflecting the information in the reference text.",None
Hindi_Q028,Hindi,स्थानीय एनेस्थेटिक्स में प्लाज्मा सांद्रता और दवा बाइंडिंग के बीच क्या संबंध है?,What is the relationship between plasma concentration and drug binding in local anesthetics?,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate as it accurately reflects the absence of relevant information in the reference text.",None,factual,5,partial,3,appropriate,5,The answer is factually accurate and medically appropriate but lacks completeness in covering all relevant aspects from the reference text.,The answer could include additional details on ionization and lipid solubility affecting drug binding and transfer.
Hindi_Q029,Hindi,ज़ोलेड्रोनिक एसिड इंजेक्शन के संभावित गुर्दे संबंधी दुष्प्रभाव क्या हैं?,What are the potential renal side effects of Zoledronic Acid Injection?,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate given the lack of relevant information in the reference text.",None,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately reflecting the reference text.",None
Hindi_Q030,Hindi,ज़ोलेड्रोनिक एसिड इंजेक्शन के पोस्ट-अप्रूवल उपयोग के दौरान रिपोर्ट की गई प्रतिकूल प्रतिक्रियाएं क्या हैं?,What are the adverse reactions reported during postapproval use of Zoledronic Acid Injection?,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate as it correctly identifies the lack of information on zoledronic acid in the reference text.",None,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate as it correctly identifies the lack of specific information in the reference text.",None
Chinese_Q001,Chinese,什么是胰岛素抵抗，它如何影响葡萄糖进入细胞？,What is insulin resistance and how does it affect glucose entry into cells?,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately addressing the user's question about insulin resistance.",None,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate.",None
Chinese_Q002,Chinese,家族史如何影响心脏病的风险？,How does family history influence the risk of heart disease?,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately addressing the user's question about family history and heart disease risk.",None,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately addressing the user's question about family history and heart disease risk.",None
Chinese_Q003,Chinese,吸烟对血压和心脏病风险有何影响？,What impact does smoking have on blood pressure and heart disease risk?,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately reflecting the reference text.",None,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately reflecting the reference text.",None
Chinese_Q004,Chinese,可以改变的心脏病风险因素有哪些？,What are the heart disease risk factors that can be changed?,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately reflecting the reference text.",None,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately listing modifiable heart disease risk factors.",None
Chinese_Q005,Chinese,不同族群之间心脏病发病率有什么差异？,What are the differences in heart disease rates among different ethnic groups?,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately addressing the user's question based on the reference text.",None,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately reflecting the reference text.",None
Chinese_Q006,Chinese,酒精摄入对心脏病风险有什么影响？,What is the effect of alcohol consumption on heart disease risk?,hallucinated,1,no_answer,1,potentially_harmful,2,"The answer is not faithful to the reference text, lacks completeness, and provides potentially misleading medical information.",Information about alcohol's impact on heart disease risk is not in the reference text.; The answer provides general advice without evidence from the reference text.,hallucinated,1,no_answer,1,potentially_harmful,2,"The answer is not faithful to the reference text and provides unsupported information, which could be misleading.",Includes information not present in the reference text; Provides general advice without evidence from the reference text
Chinese_Q007,Chinese,额外的卡路里对心脏病风险有什么影响？,What is the effect of extra calories on heart disease risk?,factual,5,partial,3,appropriate,5,The answer is factual and medically appropriate but could be more complete by including additional relevant details from the reference text.,Lacks details on other risk factors like high blood pressure and cholesterol mentioned in the reference text.,factual,5,partial,3,appropriate,5,The answer is factual and medically appropriate but could be more complete by including additional relevant details from the reference text.,Lacks additional context on related risk factors like high blood pressure and cholesterol.
Chinese_Q008,Chinese,压力与心脏病有什么关系？,How does stress relate to heart disease?,partial,3,partial,3,appropriate,4,The answer is mostly faithful and medically appropriate but lacks completeness and includes some unsupported claims.,The claim that stress can 'trigger heart disease' is not directly supported by the reference text.; The answer does not mention other factors like diabetes and sleep that are related to heart disease in the reference text.,factual,5,partial,3,appropriate,5,The answer is factual and medically appropriate but lacks completeness in covering all relevant aspects from the reference text.,"The answer does not mention the role of sleep and diabetes in relation to heart disease, which are present in the reference text."
Chinese_Q009,Chinese,哪个族群的心脏病发病率比其他族群低？,Which ethnic group has lower rates of heart disease compared to others?,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate.",None,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate.",None
Chinese_Q010,Chinese,家族成员心脏病诊断的年龄阈值是多少会增加风险？,What are the heart disease diagnosis age thresholds for family members that increase risk?,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately reflecting the reference text.",None,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately addressing the user's question about heart disease risk thresholds based on family history.",None
Chinese_Q011,Chinese,饮酒超过推荐量对心脏病风险有什么影响？,What are the effects of drinking more than recommended alcohol on heart disease risk?,factual,5,partial,3,appropriate,5,The answer is factually accurate and medically appropriate but lacks completeness in covering all aspects of the question.,Lacks discussion on other cardiovascular effects of excessive alcohol consumption beyond weight gain.,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately reflecting the reference text.",None
Chinese_Q012,Chinese,男性和女性减少心脏病风险的饮酒指南是什么？,What are the drinking guidelines to reduce heart disease risk for men and women?,factual,5,complete,5,appropriate,5,"The answer is factual, complete, and medically appropriate, providing the correct drinking guidelines to reduce heart disease risk.",None,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate for the user's question.",None
Chinese_Q013,Chinese,管理压力如何影响心脏病风险？,How does managing stress influence heart disease risk?,partial,3,partial,3,appropriate,4,The answer is mostly appropriate and relevant but lacks some details and includes minor unsupported claims.,Missing details on sleep and diabetes from the reference text; Unsupported claim about 'extreme stress triggering heart disease',partial,3,partial,3,appropriate,4,The answer is mostly faithful and medically appropriate but lacks some completeness and includes minor unsupported details.,Unsupported claims about specific stress management techniques; Misses details on sleep and diabetes impact on heart disease risk
Chinese_Q014,Chinese,吸烟者降低心脏病风险的建议措施是什么？,What is the recommended action for smokers to lower heart disease risk?,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, providing a clear recommendation for smokers to reduce heart disease risk.",None,partial,3,partial,3,appropriate,4,"The answer is mostly appropriate but partially faithful and complete, as it includes some unsupported details and misses specific references to medications.",Includes unsupported details about stress management and specific lifestyle changes.; Misses mention of atorvastatin calcium tablets as a potential intervention.
Chinese_Q015,Chinese,戒烟对心脏病风险有什么影响？,What is the effect of smoking cessation on heart disease risk?,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate.",None,partial,4,complete,5,appropriate,5,"The answer is mostly faithful to the reference text, complete, and medically appropriate, but slightly overstates the impact of smoking cessation.",The term 'significantly' is not supported by the reference text.
Chinese_Q016,Chinese,女性饮酒以降低心脏病风险的指南是什么？,What are the guidelines for alcohol consumption for women to reduce heart disease risk?,factual,5,complete,5,appropriate,5,"The answer is factual, complete, and medically appropriate, providing the correct guideline for alcohol consumption for women to reduce heart disease risk.",None,hallucinated,1,no_answer,1,potentially_harmful,2,The answer is not faithful to the reference text and provides potentially misleading medical advice.,"The answer includes information not found in the reference text.; The answer provides general medical advice without context, which can be misleading."
Chinese_Q017,Chinese,盐酸甲哌卡因用于什么？,What is mepivacaine hydrochloride used for?,hallucinated,1,no_answer,1,appropriate,3,"The answer is not faithful to the reference text and provides hallucinated information, although the medical information itself is correct.",The answer includes information not present in the reference text.; The answer provides correct medical information but is not grounded in the provided context.,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately reflecting the information in the reference text.",None
Chinese_Q018,Chinese,哌替啶盐酸盐的结构式是什么？,What is the structural formula of meperidine hydrochloride?,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate as it accurately reflects the absence of information in the reference text.",None,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate as it accurately reflects the lack of relevant information in the reference text.",None
Chinese_Q019,Chinese,血浆蛋白在局部麻醉药作用中的角色是什么？,What is the role of plasma proteins in the action of local anesthetics?,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate as it accurately reflects the absence of relevant information in the reference text.",None,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately addressing the user's question based on the reference text.",None
Chinese_Q020,Chinese,什么浓度的盐酸甲哌卡因可以提供完全的感觉和运动阻滞？,What concentration of mepivacaine hydrochloride provides complete sensory and motor block?,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete in acknowledging the lack of information, and medically appropriate.",None,factual,5,complete,5,appropriate,5,"The answer is factual, complete, and medically appropriate, providing the correct concentration of mepivacaine hydrochloride for complete sensory and motor block.",None
Chinese_Q021,Chinese,盐酸甲哌卡因提供的麻醉通常能维持手术多长时间？,How long is anesthesia provided by mepivacaine typically adequate for surgery?,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate as it accurately reflects the absence of relevant information in the reference text.",None,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate.",None
Chinese_Q022,Chinese,哌替啶盐酸盐注射液的pH范围是多少？,What is the pH range of Meperidine Hydrochloride Injection?,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate as it accurately reflects the absence of information in the reference text.",None,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate as it accurately reflects the absence of information in the reference text.",None
Chinese_Q023,Chinese,哌替啶盐酸盐注射液有哪些给药形式？,What are the forms of administration for Meperidine Hydrochloride Injection?,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate as it accurately reflects the lack of relevant information in the reference text.",None,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate as it accurately reflects the absence of relevant information in the reference text.",None
Chinese_Q024,Chinese,哌替啶盐酸盐的熔点是多少？,What is the melting point of meperidine hydrochloride?,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate as it accurately reflects the absence of information in the reference text.",None,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate as it accurately reflects the absence of information in the reference text.",None
Chinese_Q025,Chinese,盐酸哌替啶的化学成分是什么？,What is the chemical composition of meperidine hydrochloride?,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate as it accurately reflects the lack of information in the reference text.",None,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate as it accurately reflects the lack of relevant information in the reference text.",None
Chinese_Q026,Chinese,盐酸哌替啶作为麻醉性镇痛药的作用是什么？,What is the role of meperidine hydrochloride as a narcotic analgesic?,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate as it accurately reflects the absence of relevant information in the reference text.",None,hallucinated,1,no_answer,1,appropriate,3,"The answer is hallucinated as it provides information not found in the reference text, and it correctly states that the context lacks relevant information.",Information about meperidine hydrochloride is not present in the reference text.; The answer correctly identifies the lack of relevant information in the context.
Chinese_Q027,Chinese,盐酸哌替啶注射液有哪些浓度可用？,What are the concentrations available for Meperidine Hydrochloride Injection?,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate as it accurately reflects the absence of relevant information in the reference text.",None,factual,5,no_answer,5,appropriate,5,"The response is faithful, complete, and medically appropriate as it accurately reflects the absence of relevant information in the reference text.",None
Chinese_Q028,Chinese,血浆浓度与局部麻醉药物结合之间的关系是什么？,What is the relationship between plasma concentration and drug binding in local anesthetics?,factual,5,partial,3,appropriate,5,The answer is factually accurate and medically appropriate but only partially addresses the user's question.,The answer does not cover the broader relationship between plasma concentration and drug binding beyond placental transfer.,factual,5,partial,3,appropriate,5,The answer is factually accurate and medically appropriate but lacks completeness in covering all relevant aspects from the reference text.,Does not mention ionization and lipid solubility factors affecting drug transfer.
Chinese_Q029,Chinese,唑来膦酸注射液的潜在肾脏副作用有哪些？,What are the potential renal side effects of Zoledronic Acid Injection?,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete in acknowledging the lack of information, and medically appropriate.",None,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately reflecting the reference text.",None
Chinese_Q030,Chinese,在唑来膦酸注射液的上市后使用中报告了哪些不良反应？,What are the adverse reactions reported during postapproval use of Zoledronic Acid Injection?,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate as it accurately reflects the absence of relevant information in the reference text.",None,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate as it correctly identifies the lack of relevant information in the reference text.",None
